,src,dst,time,ext_roll
6806,2,25,1050,0
6807,2,29,1050,0
6808,2,13,1050,0
6809,2,17,1050,0
6810,3,25,1050,0
6811,3,29,1050,0
6812,3,13,1050,0
6813,3,17,1050,0
6814,4,25,1050,0
6815,4,29,1050,0
6816,4,13,1050,0
6817,4,17,1050,0
6818,6,25,1050,0
6819,6,29,1050,0
6820,6,13,1050,0
6821,6,17,1050,0
6822,14,25,1050,0
6823,14,29,1050,0
6824,14,13,1050,0
6825,14,17,1050,0
6826,17,25,1050,0
6827,17,29,1050,0
6828,17,13,1050,0
6829,25,3,1051,0
6830,25,4,1051,0
6831,25,5,1051,0
6832,25,6,1051,0
6833,25,11,1051,0
6834,25,12,1051,0
6835,25,14,1051,0
6836,25,15,1051,0
6837,25,16,1051,0
6838,25,17,1051,0
6839,25,18,1051,0
6840,25,21,1051,0
6841,29,3,1051,0
6842,29,4,1051,0
6843,29,5,1051,0
6844,29,6,1051,0
6845,29,11,1051,0
6846,29,12,1051,0
6847,29,14,1051,0
6848,29,15,1051,0
6849,29,16,1051,0
6850,29,17,1051,0
6851,29,18,1051,0
6852,29,21,1051,0
6853,13,3,1051,0
6854,13,4,1051,0
6855,13,5,1051,0
6856,13,6,1051,0
6857,13,11,1051,0
6858,13,12,1051,0
6859,13,14,1051,0
6860,13,15,1051,0
6861,13,16,1051,0
6862,13,17,1051,0
6863,13,18,1051,0
6864,13,21,1051,0
6865,17,3,1051,0
6866,17,4,1051,0
6867,17,5,1051,0
6868,17,6,1051,0
6869,17,11,1051,0
6870,17,12,1051,0
6871,17,14,1051,0
6872,17,15,1051,0
6873,17,16,1051,0
6874,17,18,1051,0
6875,17,21,1051,0
6876,14,3,1055,0
6877,14,4,1055,0
6878,14,5,1055,0
6879,14,6,1055,0
6880,14,10,1055,0
6881,14,11,1055,0
6882,14,12,1055,0
6883,14,18,1055,0
6884,14,21,1055,0
6885,3,5,1056,0
6886,3,6,1056,0
6887,3,8,1056,0
6888,3,10,1056,0
6889,3,14,1056,0
6890,3,15,1056,0
6891,3,16,1056,0
6892,4,5,1056,0
6893,4,6,1056,0
6894,4,8,1056,0
6895,4,10,1056,0
6896,4,14,1056,0
6897,4,15,1056,0
6898,4,16,1056,0
6899,5,6,1056,0
6900,5,8,1056,0
6901,5,10,1056,0
6902,5,14,1056,0
6903,5,15,1056,0
6904,5,16,1056,0
6905,6,5,1056,0
6906,6,8,1056,0
6907,6,10,1056,0
6908,6,14,1056,0
6909,6,15,1056,0
6910,6,16,1056,0
6911,10,5,1056,0
6912,10,6,1056,0
6913,10,8,1056,0
6914,10,14,1056,0
6915,10,15,1056,0
6916,10,16,1056,0
6917,11,5,1056,0
6918,11,6,1056,0
6919,11,8,1056,0
6920,11,10,1056,0
6921,11,14,1056,0
6922,11,15,1056,0
6923,11,16,1056,0
6924,12,5,1056,0
6925,12,6,1056,0
6926,12,8,1056,0
6927,12,10,1056,0
6928,12,14,1056,0
6929,12,15,1056,0
6930,12,16,1056,0
6931,14,5,1056,0
6932,14,6,1056,0
6933,14,8,1056,0
6934,14,10,1056,0
6935,14,15,1056,0
6936,14,16,1056,0
6937,18,5,1056,0
6938,18,6,1056,0
6939,18,8,1056,0
6940,18,10,1056,0
6941,18,14,1056,0
6942,18,15,1056,0
6943,18,16,1056,0
6944,21,5,1056,0
6945,21,6,1056,0
6946,21,8,1056,0
6947,21,10,1056,0
6948,21,14,1056,0
6949,21,15,1056,0
6950,21,16,1056,0
6951,5,3,1057,0
6952,5,11,1057,0
6953,5,13,1057,0
6954,5,17,1057,0
6955,5,21,1057,0
6956,6,3,1057,0
6957,6,11,1057,0
6958,6,13,1057,0
6959,6,17,1057,0
6960,6,21,1057,0
6961,8,3,1057,0
6962,8,11,1057,0
6963,8,13,1057,0
6964,8,17,1057,0
6965,8,21,1057,0
6966,10,3,1057,0
6967,10,11,1057,0
6968,10,13,1057,0
6969,10,17,1057,0
